population_size,fitness_score,training_time
20,4.215923996304656,0.003989315032958984
30,3.528461681989652,0.007216187318166097
40,3.636119118918751,0.013566474119822184
50,3.358702173391129,0.017717190583546958
60,4.453029924543507,0.02855675220489502
70,4.153331226919597,0.035422499974568686
80,3.027705309731333,0.047233144442240395
90,3.827217886171162,0.05349363485972087
100,3.925585867133835,0.06562694311141967
125,1.1242273196994097,0.09298469225565593
150,3.0907425767375227,0.15727608998616535
175,3.0942032524323104,0.2040732463200887
200,2.877131492837833,0.24411604007085166
250,3.1335021374839926,0.35489823023478195
300,3.448208043641335,0.47321799596150715
350,3.844006305582338,0.5661135991414388
400,3.153202868078,0.7187670350074769
450,3.221718861573395,0.860548730691274
500,2.885057458719796,1.0304280757904054
550,2.7787635546281977,1.2085003058115642
600,1.7247497204809634,1.3419574936230978
650,3.06671839515207,1.5593919356664019
700,1.1168765974430832,1.761701226234436
750,1.657633323121946,1.9175276637077334
800,1.6259866415177715,2.1113549868265786
850,1.2351353976284587,2.3991508722305297
900,1.462057156452232,2.5589601516723635
950,2.256201799851451,2.792848070462545
1000,1.549462773342183,3.0390232284863794
1000,0.5915537332194951,3.1494391600290936
2000,2.139234171948804,9.546097401777903
3000,0.8284603169185462,18.39115107456843
4000,0.9857806778827362,30.7286406993866
5000,0.8893156457649629,45.21917748053868
6000,0.9207681279092368,59.99399662812551
7000,0.7932798703247546,74.98973191976548
