population_size,fitness_score,training_time
40,0.1224695973034728,0.016063153743743896
30,0.0929254510071147,0.020374921957651775
20,0.1136783612652623,0.013900987307230632
50,0.1116356425125833,0.03804796934127808
60,0.1119613777083451,0.050463918844858804
80,0.0929254510071147,0.06003353993097941
90,0.0758197030924667,0.06192631324132283
70,0.1110984817433818,0.07185550530751546
100,0.0998540492668488,0.07849891980489095
125,0.1058224734130501,0.12934277057647706
150,0.0756439498141882,0.15649068355560303
175,0.0762982716992426,0.18766055504481
200,0.082381383316812,0.2413805047671
250,0.0929254510071147,0.37627441883087154
300,0.0903902503747808,0.47327030897140504
350,0.0656397536269564,0.5885967016220093
400,0.0903902503747808,0.6953188498814902
550,0.0700773830504422,1.0963303367296855
600,0.0810757158539573,1.3128562688827514
750,0.0810757158539573,1.8332553466161094
800,0.0758197030924667,2.0591566960016885
950,0.0762982716992426,2.629866135120392
1000,0.0810757158539573,2.7866507808367413
2000,0.0700773830504422,8.315002616246542
3000,0.0606801722857949,16.42449624935786
4000,0.0700773830504422,25.753313358624776
5000,0.0633094097757965,37.398115209738414
6000,0.0568506728278731,49.82334725856781
7000,0.0700773830504422,63.09775275389354
