population_size, fitness_score, training_time
20, 0.026912969157064134, 0.2804603576660156
30, 0.03361751904167039, 0.41373515129089355
40, 0.03456397619370134, 0.61734938621521
50, 0.03458399994731863, 0.8867449760437012
60, 0.034583999947318624, 1.162649393081665
70, 0.016340521817448266, 1.7276136875152588
80, 0.007821782460828002, 2.0744547843933105
90, 0.01808224032227905, 2.6249823570251465
100, 0.017565716792606705, 3.288245677947998
125, 0.02620904672959505, 4.557782173156738
150, 0.0170932470046881, 6.641282320022583
175, 0.023201726105325816, 8.20007848739624
200, 0.02273515034146328, 10.15090036392212
250, 0.03243733722668956, 14.940175294876099
300, 0.023316653125471088, 19.94867515563965
350, 0.016340521817448266, 26.072306871414185
400, 0.017565716792606705, 34.10291504859924
550, 0.016181114112280754, 58.681089639663696
600, 0.020530876905429162, 63.66745948791504
750, 0.006381084634738496, 95.43985939025879
800, 0.0074054279985000205, 103.02921557426453
950, 0.015485521283357364, 140.04215693473816
1000, 0.012465743683226137, 151.25679636001587
2000, 0.001096660989591007, 459.60307025909424
3000, 0.0006276685397475655, 919.8696885108948
4000, 0.0006276685397475655, 1411.2475872039795
5000, 0.0019430116589686222, 2033.7336926460266
6000, 0.007236965517451301, 2705.5435614585876
7000, 0.00895318449371883, 3589.860428571701
