population_size,fitness_score,training_time
20,0.0174900910926693,0.003823073705037435
30,0.0199994046673748,0.007479957739512125
40,0.0107172298720935,0.012284390131632487
50,0.0142603834488219,0.019431924819946284
60,0.0030908520790262,0.025598740577697753
70,0.0107172298720935,0.038829513390858966
80,0.0192530712884377,0.055318744977315266
90,0.0107172298720935,0.08992669582366944
100,0.0174900910926693,0.07448810338973999
125,0.0107172298720935,0.11283008257548015
150,0.0044807768916229,0.1458500901858012
175,0.0034415702749319,0.20454192956288653
200,0.0107172298720935,0.23337628841400146
250,0.0037215705489213,0.42025365432103473
300,0.0065250144813958,0.4966709017753601
350,0.0037215705489213,0.6833611726760865
400,0.0037215705489213,0.8355550607045491
450,0.0022518942687407,0.9810502171516419
500,0.0037215705489213,1.0266686042149862
550,0.005371522804089,1.2161836504936219
600,0.0028765894975634,1.3136536876360576
650,0.0034415702749319,1.4780866225560507
700,0.0034415702749319,1.7248416900634767
750,0.0032888908542455,1.9226574977238973
800,0.0028187869374213,2.169819792111715
850,0.0037215705489213,2.35926509698232
900,0.0033275610718543,2.5816572109858194
950,0.0027745567557215,3.2412115295728046
1000,0.0037215705489213,3.7208479841550193
2000,0.0022784180412246,11.315081079800924
3000,0.0027016584764446,22.098245390256245
4000,0.0022666835496794,30.53003648122152
5000,0.0029737140387318,45.08607238928477
6000,0.0029656061098745,56.85897127389908
7000,0.0027894223462797,77.24623941977819
