population_size,fitness_score,training_time
20,4.215923996304656,0.239358901977539
30,3.528461681989652,0.4329712390899658
40,3.636119118918751,0.813988447189331
50,3.358702173391129,1.0630314350128174
60,4.453029924543507,1.7134051322937012
70,4.153331226919597,2.125349998474121
80,3.027705309731333,2.833988666534424
90,3.827217886171162,3.209618091583252
100,3.925585867133835,3.9376165866851807
125,1.1242273196994097,5.579081535339356
150,3.0907425767375227,9.436565399169922
175,3.0942032524323104,12.244394779205322
200,2.877131492837833,14.6469624042511
250,3.1335021374839926,21.293893814086918
300,3.448208043641335,28.39307975769043
350,3.844006305582338,33.96681594848633
400,3.153202868078,43.12602210044861
450,3.221718861573395,51.63292384147644
500,2.885057458719796,61.82568454742432
550,2.7787635546281977,72.51001834869385
600,1.7247497204809634,80.51744961738586
650,3.06671839515207,93.56351613998412
700,1.1168765974430832,105.70207357406616
750,1.657633323121946,115.051659822464
800,1.6259866415177715,126.68129920959473
850,1.2351353976284587,143.9490523338318
900,1.462057156452232,153.5376091003418
950,2.256201799851451,167.57088422775269
1000,1.549462773342183,182.34139370918277
1000,0.5915537332194951,188.9663496017456
2000,2.139234171948804,572.7658441066742
3000,0.8284603169185462,1103.4690644741058
4000,0.9857806778827362,1843.718441963196
5000,0.8893156457649629,2713.150648832321
6000,0.9207681279092368,3599.6397976875305
7000,0.7932798703247546,4499.383915185928
